_id,country_id,name,short_name
77,215,Universidad de Würzburg,JMU
78,215,Universidad de Dresde,TU Dresden
79,215,Julius Maximilian Universidad de Würzburg,
80,97,Universidad de Buenos Aires,UBA
81,212,Universidad de Ciencias Aplicadas FH Joanneum,FH-JOANNEUM
82,114,Universidad de Saskatchewan,USASK
84,102,"Universidad Tecnológica de Bolívar ",UTB
85,183,Universidad de Syddansk,SDU
86,211,Universidad de Granada,UGR
87,211,Universidad Complutense de Madrid,UCM
88,211,Universidad de País Vasco,UPV/EHU
89,211,Universidad Politécnica de Valencia,UPV
90,211,Universidad Miguel Hernández,UMH
91,211,Universidad de Valladolid,Uva
92,211,Universidad de Jaén,UJAEN
93,211,Universidad de Oviedo,UNIOVI
94,211,Universidad Castilla-La Mancha,UCLM
95,117,Universidad de Kansas,KU
127,92,Universidad Francisco Marroquín,UFM
83,114,Université du Québec à Trois-Rivières,UQTR
121,92,Universidad del Valle de Guatemala,UVG
128,92,Universidad Panamericana,UPANA
106,214,Universite de Tours,UT
107,214,Université de technologie de Troyes,UTT
108,203,Universidad de Roma “Tor Vergata”,Uniroma
109,128,Universidad de Nagoya,
110,128,Universidad de Kanezawa,KU
111,94,Universidad de Anáhuac,Anahuac
112,94,Universidad de las Américas Puebla,UDLAP
113,94,Universidad Miguel Hernández,UMH
114,192,Universidad del Sur-Este Noruega,USN
115,192,Universitetet i Bergen,UIB
116,219,Universidad de Groninga,RUG
117,173,"Universidad de Tecnología Bialystok ",PB
118,194,Universidad de Uppsala,UU
119,194,KTH Royal Institute of Technology,KTH
96,117,Universidad de Mississippi,Ole Miss
97,117,Universidad del Estado de Illinois,UIS
98,117,Universidad de Wyoming,UW
99,117,Universidad del Estado de Wayne,Wayne
100,117,Universidad de Florida,UFL
101,117,Insituto de Tecnología de Massachusetts,MIT
102,117,Universidad de Nueva York,NYU
103,117,Universidad de Colorado Boulder,CU
104,117,Universidad del Estado de Emporia,ESU
105,117,Universidad de Illinois en Urbana-Champaign,UIUC